ProductDescription	ClientID	TestCode	TestName	ParameterCode	ParameterName	StringValue	NumeratorUnit	DenominatorUnit	ResultSeverity	SampleSeverity	ResultSeverityColor	SampleSeverityColor	NumericValue	ReceivedDate
3829 - Pork Lunch Tongue	55	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
Raw Pork Legs Bone In BQAP	221	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good		1	1	00:00.0	00:00.0
Raw Pork Rind	221	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good		1	1	00:00.0	00:00.0
Raw Pork Rind	221	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good		1	3	00:00.0	00:00.0
"MORR FI Korean BBQ Pork, Rice & Pickled Slaw 400g"	2083	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
3829 - Pork Lunch Tongue	55	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Shoulder Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
R400 MORRISONS 20 Pork Cocktail Sausages	1627	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Loin Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
slow cooked Memphis pork ribs	1	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
SAUSAGES Tesco Pork & Beef Meatballs 360g	340	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
SAUSAGES Tesco Pork & Beef Meatballs 360g	340	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
SAUSAGES Tesco Pork & Beef Meatballs 360g	340	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
SAUSAGES Tesco Pork & Beef Meatballs 360g	340	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
SAUSAGES Tesco Pork & Beef Meatballs 360g	340	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Pepper Crusted Pork Chops with Garlic Butter	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Pepper Crusted Pork Chops with Garlic Butter	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Pepper Crusted Pork Chops with Garlic Butter	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Pepper Crusted Pork Chops with Garlic Butter	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Pepper Crusted Pork Chops with Garlic Butter	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Pepper Crusted Pork Chops with Garlic Butter	128	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Pepper Crusted Pork Chops with Garlic Butter	128	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Pepper Crusted Pork Chops with Garlic Butter	128	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Pepper Crusted Pork Chops with Garlic Butter	128	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Pepper Crusted Pork Chops with Garlic Butter	128	UMRGX	Salmonella species D [UK Food]  /10 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	10 g	Very good	Very good	1	1	00:00.0	00:00.0
R492 FORZA 4.5g Pork & Beef Meatball	1627	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good		1	1	00:00.0	00:00.0
R493 STATESIDE FOODS 3g Pork & Beef Meatball	1627	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good		1	1	00:00.0	00:00.0
R492 FORZA 4.5g Pork & Beef Meatball	1627	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Loin Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
PORK Shoulder Joint VP	128	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
Tennessee whiskey smoked pork	1	UMRJX	Salmonella species D [UK Food]  /25 g ISO 6579-1	UM000096	Salmonella	Not Detected	No unit	25 g	Very good	Very good	1	1	00:00.0	00:00.0
R492 FORZA 4.5g Pork & Beef Meatball	1627	UMW6J	Salmonella D Abs Pres /25 g SOL 37/01-06/13	UM000096	Salmonella	Not Detected	No unit	25 g	Very good		1	1	00:00.0	00:00.0
